#
#
# US Geological Survey
# retrieved: 2023-11-20 15:48:54 EST
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#
#
# query started 2023-11-20 15:48:54 EST
#
# there are 1968 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	coord_datum_cd
MO005	395011094533501	T58N R36W 13 13714	GW	39.83638889	-94.89305560	5	NAD83
MO005	395011094534901	T58N R36W 13 13713	GW	39.83638889	-94.89694440	5	NAD83
MO005	395011094535201	T58N R36W 13 13712	GW	39.83638889	-94.89777780	5	NAD83
MO005	395011094535601	T58N R36W 13 13711	GW	39.83638889	-94.89888890	5	NAD83
MO005	395011094540001	T58N R36W 14 12480	GW	39.83638889	-94.90000000	5	NAD83
MO005	395011094540401	T58N R36W 14 13710	GW	39.83638889	-94.90111110	5	NAD83
MO005	395011094540901	T58N R36W 14 13709	GW	39.83638889	-94.90250000	5	NAD83
USGS	395012094540101	STRVPAS1 MO01	GW	39.83666667	-94.90027780	S	NAD83
USGS	395016095332501	02S 17E 31BADC01  SITE 5-1	GW	39.83781667	-95.55685000	H	NAD83
USGS	395017094570101	02S 22E 32ABC 01	GW	39.83804964	-94.95052520	T	NAD27
USGS	395018095324601	02S 17E 31AAC 01	GW	39.83833649	-95.54637120	T	NAD27
USGS	395018095494501	02S 14E 34AAD 01	GW	39.83833250	-95.82943450	T	NAD27
USGS	395018096003501	02S 13E 31BBC 01	GW	39.83833140	-96.00999860	T	NAD27
USGS	395018096003502	02S 13E 31BBC 02	GW	39.83833140	-96.00999860	T	NAD27
USGS	395023095202001	02S 19E 31BBB 01	GW	39.83972250	-95.33914440	T	NAD27
USGS	395024095314601	02S 17E 32ABA 01	GW	39.84000340	-95.52970420	T	NAD27
USGS	395025095433401	02S 15E 34BAA 01	GW	39.84027790	-95.72637480	M	NAD27
USGS	395025095480101	02S 14E 36BAA 01	GW	39.84027717	-95.80054430	T	NAD27
USGS	395025095493601	02S 14E 35BBB 01	GW	39.84027700	-95.82693440	T	NAD27
USGS	395025095535401	02S 14E 31BBB 01	GW	39.84027650	-95.89860450	T	NAD27
USGS	395025095571601	02S 13E 33AAA 01	GW	39.84027615	-95.95471830	T	NAD27
USGS	395025095595601	02S 13E 31ABB 01	GW	39.84027585	-95.99916480	T	NAD27
USGS	395025096002501	02S 13E 31BBA 01	GW	39.84027588	-96.00722070	T	NAD27
USGS	395029095192101	02S 19E 29CCC 01	GW	39.84138880	-95.32275510	T	NAD27
USGS	395029095240001	02S 18E 28DDC 01	GW	39.84139056	-95.40025690	T	NAD27
USGS	395030095004801	02S 21E 25CDD 01	GW	39.84166090	-95.01358250	T	NAD27
USGS	395030095291001	02S 17E 26CCC 01	GW	39.84167027	-95.48637000	T	NAD27
USGS	395031095320301	02S 17E 29CDD 01	GW	39.84194779	-95.53442650	T	NAD27
USGS	395031095434301	02S 15E 27CDC 01	GW	39.84194455	-95.72887480	T	NAD27
USGS	395031095472601	02S 14E 25DDD 01	GW	39.84194390	-95.79082160	M	NAD27
USGS	395031095495301	02S 14E 27DDC 01	GW	39.84194365	-95.83165690	T	NAD27
USGS	395031095504501	02S 14E 27CCC 01	GW	39.84194355	-95.84610200	T	NAD27
USGS	395031095582901	02S 13E 29DDC 01	GW	39.84194270	-95.97499700	T	NAD27
USGS	395032094524801	T58N R35W 18CCC1	GW	39.84221638	-94.88024530	T	NAD27
USGS	395035095404701	02S 15E 25DD  01	GW	39.84305648	-95.67998500	T	NAD27
USGS	395037094564301	02S 22E 29DDA 01	GW	39.84360520	-94.94552500	T	NAD27
USGS	395038095531001	02S 14E 30DDA 01	GW	39.84388775	-95.88638170	T	NAD27
USGS	395038095545801	02S 13E 25CCB 01	GW	39.84388755	-95.91638310	T	NAD27
USGS	395038095560201	02S 13E 26CCB 01	GW	39.84388740	-95.93416180	T	NAD27
USGS	395042095170401	02S 19E 27CBC 01	GW	39.84499905	-95.28469870	T	NAD27
USGS	395044095482701	02S 14E 25CBC 01	GW	39.84555496	-95.80776690	T	NAD27
USGS	395049095143801	02S 19E 25CBA 01	GW	39.84694260	-95.24414230	T	NAD27
USGS	395050095082501	02S 20E 26DBA 01	GW	39.84721865	-95.14052930	T	NAD27
USGS	395050095113101	02S 20E 29DAA 01	GW	39.84721950	-95.19219690	M	NAD27
USGS	395050095315501	02S 17E 29DBB 01	GW	39.84722559	-95.53220430	T	NAD27
USGS	395050095322701	02S 17E 29CBB 01	GW	39.84722545	-95.54109340	T	NAD27
USGS	395056095160401	02S 19E 27ADD 01	GW	39.84888755	-95.26803170	T	NAD27
USGS	395057095323601	02S 17E 30ADD 01	GW	39.84916984	-95.54359340	M	NAD27
USGS	395111095492701	02S 14E 26BBD 01	GW	39.85305490	-95.82443440	T	NAD27
USGS	395111095565101	02S 13E 27BAC 01	GW	39.85305410	-95.94777360	T	NAD27
USGS	395115095175501	02S 19E 28BAB 01	GW	39.85416599	-95.29886580	T	NAD27
USGS	395116094563701	02S 22E 28BBB 01	GW	39.85443857	-94.94385850	T	NAD27
USGS	395117095570701	02S 13E 27BBB 01	GW	39.85472077	-95.95221820	T	NAD27
USGS	395122095094101	02S 20E 22DCC 01	GW	39.85610787	-95.16164090	T	NAD27
USGS	395122095114001	02S 20E 20DDC 01	GW	39.85610840	-95.19469700	T	NAD27
USGS	395122095123101	02S 20E 20CCC 01	GW	39.85610865	-95.20886390	T	NAD27
USGS	395122095192101	02S 19E 20CCC 01	GW	39.85611097	-95.32275520	T	NAD27
USGS	395124095392601	02S 16E 20CCC 01	GW	39.85666800	-95.65748460	T	NAD27
USGS	395124095513601	02S 14E 21CDC 01	GW	39.85666584	-95.86026950	T	NAD27
USGS	395124095535301	02S 14E 19CCC 01	GW	39.85666559	-95.89832680	T	NAD27
USGS	395124095590901	02S 13E 20CCD 01	GW	39.85666500	-95.98610880	T	NAD27
USGS	395124095592601	02S 13E 19DDD 01	GW	39.85666498	-95.99083120	T	NAD27
USGS	395124096004501	02S 12E 24DDD 01	GW	39.85666497	-96.01277660	T	NAD27
USGS	395126094531701	T58N R36W 12DBA1	GW	39.85721637	-94.88830130	T	NAD27
USGS	395128095134701	02S 19E 24DDA 01	GW	39.85777566	-95.22997550	T	NAD27
USGS	395128095160401	02S 19E 22DDA 01	GW	39.85777639	-95.26803180	M	NAD27
USGS	395130095494401	02S 14E 22DDA 01	GW	39.85833270	-95.82915690	T	NAD27
USGS	395130095494402	02S 14E 22DDA 02	GW	39.85833270	-95.82915690	T	NAD27
USGS	395135095134701	02S 19E 24DAD 01	GW	39.85972010	-95.22997550	M	NAD27
USGS	395135095165501	02S 19E 22CBD 01	GW	39.85972115	-95.28219880	T	NAD27
USGS	395135095165502	02S 19E 22CBD 02	GW	39.85972115	-95.28219880	M	NAD27
USGS	395136094525801	DOH PROJECT WELL 143	GW	39.85999414	-94.88302350	S	NAD27
USGS	395137095135601	02S 19E 24DDBB01  SITE 28-1	GW	39.86023330	-95.23211670	H	NAD83
USGS	395137095535301	02S 14E 19CBC 01	GW	39.86027674	-95.89832680	T	NAD27
USGS	395137095561001	02S 13E 22DAD 01	GW	39.86027649	-95.93638420	T	NAD27
USGS	395141095134701	02S 19E 24DAA 01	GW	39.86138676	-95.22997550	M	NAD27
USGS	395142095023801	02S 21E 22DAB 01	GW	39.86166150	-95.04413880	T	NAD27
USGS	395143095515200	GREGG CREEK BASIN  02S 14E 20DDA	ST	39.86194444	-95.86444440	S	NAD83
USGS	395143095565101	02S 13E 22CAB 01	GW	39.86194310	-95.94777360	T	NAD27
USGS	395148095013901	02S 21E 23ACD 01	GW	39.86332790	-95.02774970	T	NAD27
USGS	395150095051801	Missouri River near Forbes, MO	ST	39.86388445	-95.08858410	S	NAD27
USGS	395150095051901	Forest City Well 12	GW	39.86388446	-95.08886190	S	NAD27
USGS	395150095580401	02S 13E 21BCD 01	GW	39.86388740	-95.96805240	T	NAD27
USGS	395150095581201	02S 13E 21BCC 01	GW	39.86388740	-95.97027470	T	NAD27
USGS	395153094540301	DOH PROJECT WELL 142	GW	39.86471636	-94.90107960	S	NAD27
USGS	395153094540601	DOH PROJECT WELL 142-1	GW	39.86471636	-94.90191300	S	NAD27
USGS	395155095051901	Forest City 12	GW	39.86527335	-95.08886190	S	NAD27
USGS	395156094550901	T58N R36W 23DBB1	GW	39.86554969	-94.91941350	F	NAD27
USGS	395200094460001	T58N R34W 06DCD1	GW	39.86666080	-94.75301970	M	NAD27
USGS	395200095051801	Forest City 11	GW	39.86666220	-95.08858410	S	NAD27
USGS	395201095083301	02S 20E 23ABC 01	GW	39.86694088	-95.14275180	T	NAD27
USGS	395203095520201	02S 14E 20AAD 01	GW	39.86749925	-95.86749210	T	NAD27
USGS	395203095553801	02S 13E 23BAD 01	GW	39.86749885	-95.92749490	T	NAD27
USGS	395203095560201	02S 13E 23BBC 01	GW	39.86749880	-95.93416190	T	NAD27
USGS	395208095133901	02S 20E 19BBB 01	GW	39.86888669	-95.22775330	T	NAD27
USGS	395208095301601	02S 17E 22BBB 01	GW	39.86889260	-95.50470390	T	NAD27
USGS	395209095420901	02S 15E 23ABA 01	GW	39.86916740	-95.70276340	T	NAD27
USGS	395209095462601	02S 15E 19AAA 01	GW	39.86916654	-95.77415430	T	NAD27
USGS	395209095510201	02S 14E 21AAB 01	GW	39.86916604	-95.85082470	T	NAD27
USGS	395209095510202	02S 14E 21AAB 02	GW	39.86916604	-95.85082470	T	NAD27
USGS	395209095531601	02S 14E 19AAB 01	GW	39.86916580	-95.88804860	T	NAD27
USGS	395212095045701	Forest City 9 - USGS	GW	39.86999548	-95.08275070	S	NAD27
USGS	395214095192101	02S 19E 17CCC 01	GW	39.87055534	-95.32275540	T	NAD27
USGS	395214095225201	02S 18E 15DDC 01	GW	39.87055666	-95.38136780	M	NAD27
USGS	395216095473501	02S 14E 13DDC 01	GW	39.87111088	-95.79332190	T	NAD27
USGS	395216095560201	02S 13E 14CCC 01	GW	39.87110996	-95.93416200	T	NAD27
USGS	395216095561001	02S 13E 15DDD 01	GW	39.87110994	-95.93638430	T	NAD27
USGS	395216095584501	02S 13E 17DCC 01	GW	39.87110966	-95.97944190	T	NAD27
USGS	395216096003501	02S 13E 18CCC 01	GW	39.87110956	-96.00999890	T	NAD27
USGS	395221094570101	02S 22E 17DCB 01	GW	39.87249415	-94.95052560	T	NAD27
USGS	395222095545701	02S 13E 13CCB 01	GW	39.87277676	-95.91610560	T	NAD27
USGS	395227095123901	02S 20E 18DAD 01	GW	39.87416418	-95.21108640	T	NAD27
USGS	395227095221001	02S 18E 14CAD 01	GW	39.87416749	-95.36970090	T	NAD27
USGS	395230094544301	T59N R36W 35BAC1	GW	39.87499414	-94.91219120	T	NAD27
USGS	395234095063901	DOH PROJECT WELL 139	GW	39.87610704	-95.11108460	S	NAD27
USGS	395235095483601	02S 14E 14DAA 01	GW	39.87638860	-95.81026720	T	NAD27
USGS	395235095515000	GREGG CREEK BASIN  02S 14E 16CBB	ST	39.87638889	-95.86388890	S	NAD83
USGS	395235095571501	02S 13E 16DAA 01	GW	39.87638766	-95.95444070	T	NAD27
USGS	395240095005601	02S 21E 13BDC 01	GW	39.87777220	-95.01580520	T	NAD27
USGS	395240095155601	02S 19E 14BCC 01	GW	39.87777625	-95.26580970	T	NAD27
USGS	395242095493601	02S 14E 14BCC 01	GW	39.87833296	-95.82693470	T	NAD27
USGS	395244095153001	02S 19E 14BDCD01  SITE 8-1	GW	39.87876667	-95.25836670	H	NAD83
USGS	395246095202001	02S 19E 18BCB 01	GW	39.87944456	-95.33914470	T	NAD27
USGS	395247095000001	02S 22E 18BCB 01	GW	39.87971640	-95.00024940	T	NAD27
USGS	395247095074001	MO.10.REGIONAL MISSOURI R POST FLOOD SOIL	LA-SH	39.87971840	-95.12802940	S	NAD27
USGS	395247095074002	MO.10.REGIONAL MISSOURI R PRE FLOOD SOIL	LA-SH	39.87971840	-95.12802940	S	NAD27
USGS	395255095540001	02S 13E 13AAD 01	GW	39.88194360	-95.90027150	T	NAD27
USGS	395256095073201	T59N R38W 35DDD1	GW	39.88221838	-95.12580720	F	NAD27
USGS	395259095192901	02S 19E 18AAA 01	GW	39.88305530	-95.32497770	T	NAD27
MO005	395301094534101	T59N R36W 36 16750	GW	39.88361110	-94.89472220	F	NAD83
USGS	395301095365301	02S 16E 15BAB 01	GW	39.88361320	-95.61498400	T	NAD27
USGS	395301095473601	02S 14E 13AAB 01	GW	39.88361100	-95.79359980	T	NAD27
USGS	395301095500201	02S 14E 15ABA 01	GW	39.88361075	-95.83415730	T	NAD27
USGS	395301095510201	02S 14E 16AAB 01	GW	39.88361064	-95.85082470	T	NAD27
USGS	395301095513601	02S 14E 16BAB 01	GW	39.88361058	-95.86026960	T	NAD27
USGS	395301095523601	02S 14E 17BAA 01	GW	39.88361047	-95.87693710	T	NAD27
USGS	395301095530901	02S 14E 18AAA 01	GW	39.88361040	-95.88610420	T	NAD27
USGS	395301095541601	02S 13E 13ABA 01	GW	39.88361029	-95.90471620	T	NAD27
USGS	395301095555401	02S 13E 14BBA 01	GW	39.88361010	-95.93193970	T	NAD27
USGS	395301095584501	02S 13E 17ABB 01	GW	39.88360980	-95.97944200	T	NAD27
MO005	395303094534501	T59N R36W 36 10039	GW	39.88416667	-94.89583330	5	NAD83
USGS	395304094534201	T59N R36W 36CBD1	GW	39.88443858	-94.89524640	F	NAD27
USGS	395306094570101	02S 22E 08DCC 01	GW	39.88499418	-94.95052580	T	NAD27
USGS	395306095123101	02S 20E 08CCC 01	GW	39.88499744	-95.20886420	T	NAD27
USGS	395306095265101	02S 18E 07CCD 01	GW	39.88500250	-95.44775830	T	NAD27
USGS	395306095271401	02S 17E 12DDC 01	GW	39.88500268	-95.45414740	M	NAD27
USGS	395308095052001	Forest City 8	GW	39.88555115	-95.08913990	S	NAD27
USGS	395308095585301	02S 13E 08CDD 01	GW	39.88555425	-95.98166430	T	NAD27
USGS	395308095585303	02S 13E 08CDD 03	GW	39.88555425	-95.98166430	T	NAD27
USGS	395308095585304	02S 13E 08CDD 04	GW	39.88555425	-95.98166430	T	NAD27
USGS	395308096003601	02S 13E 07CCC 01	GW	39.88555417	-96.01027670	T	NAD27
USGS	395314095585301	02S 13E 08CDA 01	GW	39.88722090	-95.98166430	T	NAD27
USGS	395314095585302	02S 13E 08CDA 02	GW	39.88722090	-95.98166430	T	NAD27
USGS	395321095520201	02S 14E 08DAD 01	GW	39.88916615	-95.86749220	T	NAD27
USGS	395321095581201	02S 13E 09CBC 01	GW	39.88916548	-95.97027490	T	NAD27
USGS	395327095483601	02S 14E 11DAA 01	GW	39.89083320	-95.81026730	T	NAD27
USGS	395327095561001	02S 13E 10DAA 01	GW	39.89083238	-95.93638440	T	NAD27
USGS	395331094540501	DOH PROJECT WELL 160	GW	39.89193858	-94.90163560	S	NAD27
USGS	395331094542001	DOH PROJECT WELL 141	GW	39.89193859	-94.90580230	S	NAD27
USGS	395331095022401	Forest City 10	GW	39.89193929	-95.04025030	S	NAD27
USGS	395334096004501	02S 12E 12ADD 01	GW	39.89277648	-96.01277690	M	NAD27
USGS	395339095160501	02S 19E 10ADA 01	GW	39.89416510	-95.26830990	T	NAD27
USGS	395341095560201	02S 13E 11BCB 01	GW	39.89472130	-95.93416210	T	NAD27
USGS	395343095015301	T59N R37W 34AAA1	GW	39.89527250	-95.03163900	F	NAD27
USGS	395347095073001	Forest City 6	GW	39.89638500	-95.12525180	S	NAD27
USGS	395347095505301	02S 14E 09AAD 01	GW	39.89638857	-95.84832470	T	NAD27
USGS	395352095155601	02S 19E 11BBB 01	GW	39.89777615	-95.26580980	T	NAD27
USGS	395352095192101	02S 19E 08BBB 01	GW	39.89777740	-95.32275560	T	NAD27
USGS	395354095022001	DOH PROJECT WELL 140	GW	39.89832818	-95.03913920	S	NAD27
USGS	395354095494401	02S 14E 10AAA 01	GW	39.89833317	-95.82915720	T	NAD27
USGS	395354095495301	02S 14E 10AAB 01	GW	39.89833315	-95.83165730	T	NAD27
USGS	395354095512701	02S 14E 09BAA 01	GW	39.89833298	-95.85776960	T	NAD27
USGS	395354095521001	02S 14E 08AAB 01	GW	39.89833290	-95.86971460	T	NAD27
USGS	395354095545601	02S 13E 12BBB 01	GW	39.89833260	-95.91582790	T	NAD27
USGS	395354095590901	02S 13E 08BBA 01	GW	39.89833214	-95.98610900	T	NAD27
USGS	395355095051601	Forest City 7	GW	39.89861110	-95.08802780	F	NAD83
USGS	395358095144801	02S 19E 01CCC 01	GW	39.89944240	-95.24692050	M	NAD27
USGS	395359095124801	02S 20E 06DDC 01	GW	39.89971969	-95.21358660	T	NAD27
USGS	395400096005301	02S 12E 01DDC 01	GW	39.89999879	-96.01499930	T	NAD27
USGS	395403095051801	DOH PROJECT WELL 161	GW	39.90082890	-95.08858450	S	NAD27
USGS	395405095192901	02S 19E 06DDA 01	GW	39.90138858	-95.32497790	T	NAD27
USGS	395405095221001	02S 18E 02CDA 01	GW	39.90138958	-95.36970110	T	NAD27
USGS	395407095071501	T59N R37W 30DAA1	GW	39.90194050	-95.12108510	F	NAD27
USGS	395409095504001	02S 14E 03C   01	GW	39.90249978	-95.84471350	T	NAD27
USGS	395410095022201	T59N R37W 27ACC1	GW	39.90277265	-95.03969490	F	NAD27
USGS	395413096003601	02S 13E 06CBC 01	GW	39.90360990	-96.01027690	T	NAD27
USGS	395415095512000	GREGG CREEK BASIN  02S 14E 16CDD	ST	39.90416667	-95.85555560	S	NAD83
USGS	395418095123201	02S 20E 05CBB 01	GW	39.90499738	-95.20914220	T	NAD27
USGS	395418095144801	02S 19E 01CBB 01	GW	39.90499790	-95.24692060	T	NAD27
USGS	395419095323601	02S 17E 06DAA 01	GW	39.90528084	-95.54359380	T	NAD27
USGS	395420096001601	02S 13E 06CAB 01	GW	39.90555437	-96.00472110	T	NAD27
USGS	395426094580701	T59N R36W 29BAC1	GW	39.90721647	-94.96886000	T	NAD27
USGS	395426095570701	02S 13E 03BCC 01	GW	39.90722135	-95.95221860	T	NAD27
USGS	395427095093801	Missouri River near Forest City, mo	ST	39.90749666	-95.16080800	S	NAD27
USGS	395430095541501	SABETHA LAKE,KS,PAN EVAP-IN.-INCL.EST.ESP.WINTER	AT	39.90833278	-95.90443860	M	NAD27
USGS	395431095570800	SABETHA CITY LK ON DEER C, KS	LK	39.90861110	-95.95222220	S	NAD83
USGS	395433095535201	02S 14E 06BCB 01	GW	39.90916617	-95.89804940	T	NAD27
USGS	395437095220101	02S 18E 02ABC 01	GW	39.91027837	-95.36720110	M	NAD27
USGS	395438095315401	02S 17E 05ABC 01	GW	39.91055875	-95.53192700	T	NAD27
USGS	395439095475301	02S 14E 01ABC 01	GW	39.91083350	-95.79832240	T	NAD27
USGS	395439095515301	02S 14E 04BBC 01	GW	39.91083307	-95.86499230	T	NAD27
USGS	395444095163901	02S 19E 03BAA 01	GW	39.91222079	-95.27775470	T	NAD27
USGS	395444095225201	02S 18E 03AAB 01	GW	39.91222310	-95.38136810	T	NAD27
USGS	395444095232601	02S 18E 03BAB 01	GW	39.91222334	-95.39081280	T	NAD27
USGS	395446095431901	02S 15E 03ABA 01	GW	39.91277860	-95.72220850	T	NAD27
USGS	395446095492701	02S 14E 02BBA 01	GW	39.91277780	-95.82443480	T	NAD27
USGS	395446095500101	02S 14E 03ABA 01	GW	39.91277770	-95.83387970	T	NAD27
USGS	395446095504401	02S 14E 03BBB 01	GW	39.91277766	-95.84582470	T	NAD27
USGS	395446095510101	02S 14E 04AAB 01	GW	39.91277760	-95.85054720	T	NAD27
USGS	395446095530101	02S 14E 05BBB 01	GW	39.91277740	-95.88388200	T	NAD27
USGS	395446095560902	02S 13E 03AAB 02	GW	39.91277707	-95.93610680	M	NAD27
USGS	395446095561801	02S 13E 03AAB 01	GW	39.91277705	-95.93860690	M	NAD27
USGS	395446096004501	02S 12E 01AAA 01	GW	39.91277669	-96.01277700	T	NAD27
USGS	395450095164801	01S 19E 34CDC 01	GW	39.91388750	-95.28025470	T	NAD27
USGS	395450095192901	01S 19E 31DDD 01	GW	39.91388850	-95.32497800	T	NAD27
USGS	395450095225201	01S 18E 34DDC 01	GW	39.91388979	-95.38136810	T	NAD27
USGS	395450095231701	01S 18E 34CDD 01	GW	39.91388994	-95.38831270	T	NAD27
USGS	395451095073001	T59N R38W 23DAD1	GW	39.91638500	-95.12525200	F	NAD27
USGS	395451095321901	01S 17E 32CCD 01	GW	39.91416977	-95.53887160	T	NAD27
USGS	395452095394401	01S 16E 31DDC 01	GW	39.91444600	-95.66248510	T	NAD27
USGS	395452095503601	01S 14E 34CCD 01	GW	39.91444436	-95.84360240	T	NAD27
USGS	395452095530101	01S 14E 32CCC 01	GW	39.91444410	-95.88388200	T	NAD27
USGS	395452095534501	01S 14E 31CCD 01	GW	39.91444400	-95.89610490	T	NAD27
USGS	395452095543901	01S 13E 36CDC 01	GW	39.91444390	-95.91110560	T	NAD27
USGS	395452095560101	01S 13E 35CCC 01	GW	39.91444377	-95.93388450	T	NAD27
USGS	395502095113301	Forest City 3	GW	39.91721930	-95.19275310	S	NAD27
USGS	395505095415301	01S 15E 35DAD 01	GW	39.91805670	-95.69831920	T	NAD27
USGS	395505095583601	01S 13E 32DBD 01	GW	39.91805464	-95.97694210	T	NAD27
USGS	395505096003601	01S 13E 31CBC 01	GW	39.91805450	-96.01027700	T	NAD27
USGS	395510095142301	01S 19E 36CAA 01	GW	39.91944220	-95.23997610	T	NAD27
USGS	395510095202801	01S 18E 36ADD 01	GW	39.91944440	-95.34136730	M	NAD27
USGS	395512094592001	T59N R36W 19 (House Well)	GW	39.91999430	-94.98913850	S	NAD27
USGS	395512095404401	01S 15E 36DAA 01	GW	39.92000140	-95.67915210	T	NAD27
USGS	395512095415301	01S 15E 35DAA 01	GW	39.92000120	-95.69831920	T	NAD27
USGS	395512096004501	01S 12E 36DAA 01	GW	39.91999900	-96.01277710	M	NAD27
USGS	395514094592201	T59N R36W 19 (Field Well)	GW	39.92054988	-94.98969410	S	NAD27
USGS	395536095284401	01S 17E 35BAA 01	GW	39.92666970	-95.47914820	T	NAD27
USGS	395538095415301	01S 15E 35AAA 01	GW	39.92722347	-95.69831920	T	NAD27
USGS	395538095421001	01S 15E 35ABA 01	GW	39.92722340	-95.70304150	T	NAD27
USGS	395538095535801	01S 13E 36AAA 01	GW	39.92722190	-95.89971630	T	NAD27
USGS	395538095572301	01S 13E 33AAB 01	GW	39.92722154	-95.95666340	T	NAD27
USGS	395538095592601	01S 13E 31AAA 01	GW	39.92722130	-95.99083170	T	NAD27
USGS	395543095304801	01S 17E 28DCC 01	GW	39.92861447	-95.51359340	M	NAD27
USGS	395544095360201	01S 16E 26CCC 01	GW	39.92889126	-95.60081740	T	NAD27
USGS	395544095421001	01S 15E 26DCD 01	GW	39.92889010	-95.70304160	T	NAD27
USGS	395544095421002	01S 15E 26DCD 02	GW	39.92889010	-95.70304160	T	NAD27
USGS	395544095441001	01S 15E 28DDD 01	GW	39.92888970	-95.73637550	T	NAD27
USGS	395544095522701	01S 14E 29DCC 01	GW	39.92888876	-95.87443730	T	NAD27
USGS	395544095530801	01S 14E 30DDD 01	GW	39.92888868	-95.88582670	T	NAD27
USGS	395544095532101	01S 14E 30DCD 01	GW	39.92888866	-95.88943800	T	NAD27
USGS	395544095561701	01S 13E 27DDC 01	GW	39.92888834	-95.93832920	T	NAD27
USGS	395544096003601	01S 13E 30CCC 01	GW	39.92888797	-96.01027700	T	NAD27
USGS	395551095415301	01S 15E 26DDA 01	GW	39.93083460	-95.69831930	T	NAD27
USGS	395551095461901	01S 15E 29CCB 01	GW	39.93083389	-95.77221020	T	NAD27
USGS	395551095471600	PONY C AT SABETHA, KS	ST	39.93083378	-95.78804430	M	NAD27
USGS	395551095491001	01S 14E 26CDA 01	GW	39.93083358	-95.81971250	T	NAD27
USGS	395555095173901	01S 19E 28DBC 01	GW	39.93194330	-95.29442190	T	NAD27
USGS	395600095104901	Forest City 2	GW	39.93333020	-95.18053090	S	NAD27
USGS	395602095192901	01S 19E 30DAA 01	GW	39.93388840	-95.32497810	T	NAD27
USGS	395604095505301	01S 14E 28DAA 01	GW	39.93444454	-95.84832500	T	NAD27
USGS	395609095163101	01S 19E 27ACC 01	GW	39.93583174	-95.27553260	T	NAD27
USGS	395611095482701	01S 14E 25BCC 01	GW	39.93638927	-95.80776750	T	NAD27
USGS	395611095535801	01S 13E 25ADD 01	GW	39.93638868	-95.89971630	T	NAD27
USGS	395611095545501	01S 13E 25BCC 01	GW	39.93638857	-95.91555040	T	NAD27
USGS	395617095580301	01S 13E 28BCA 01	GW	39.93805490	-95.96777510	T	NAD27
USGS	395622095192901	01S 19E 30AAD 01	GW	39.93944395	-95.32497820	T	NAD27
USGS	395624095560901	01S 13E 27AAD 01	GW	39.93999959	-95.93610700	T	NAD27
USGS	395630095382801	01S 16E 29AAA 01	GW	39.94166860	-95.64137380	T	NAD27
USGS	395630095530101	01S 14E 29BBB 01	GW	39.94166660	-95.88388230	T	NAD27
USGS	395630095535101	01S 14E 30BBB 01	GW	39.94166650	-95.89777180	T	NAD27
USGS	395630095545501	01S 13E 25BBB 01	GW	39.94166640	-95.91555050	T	NAD27
USGS	395637095514401	01S 14E 21CCD 01	GW	39.94361120	-95.86249240	T	NAD27
USGS	395637095533201	01S 14E 19CDD 01	GW	39.94361100	-95.89249380	T	NAD27
USGS	395637095592601	01S 13E 19DDD 01	GW	39.94361039	-95.99083180	T	NAD27
USGS	395637095593601	01S 13E 19DDC 01	GW	39.94361037	-95.99360980	T	NAD27
USGS	395642095301501	01S 17E 22CCB 01	GW	39.94500339	-95.50442670	T	NAD27
USGS	395642095464200	PONY C LAKE, KS  01S 15E 19DCB	LK	39.94500000	-95.77833330	S	NAD83
USGS	395643095404501	01S 15E 24DDA 01	GW	39.94527936	-95.67943010	M	NAD27
USGS	395643095441901	01S 15E 21DDB 01	GW	39.94527874	-95.73887570	T	NAD27
USGS	395643095530801	01S 14E 19DDA 01	GW	39.94527775	-95.88582680	T	NAD27
USGS	395643095545501	01S 13E 24CCB 01	GW	39.94527756	-95.91555050	T	NAD27
USGS	395649095530101	01S 14E 19DADD01  SITE 19-3	GW	39.94681667	-95.88366670	H	NAD83
USGS	395658094513701	T59N R35W 08BBC1	GW	39.94943844	-94.86052400	S	NAD27
USGS	395700094510001	T59N R35W 08BDB1	GW	39.94999398	-94.85719060	M	NAD27
USGS	395703095491001	01S 14E 23BDD 01	GW	39.95083379	-95.81971260	T	NAD27
USGS	395703095504401	01S 14E 22BCC 01	GW	39.95083360	-95.84582500	T	NAD27
USGS	395708095144501	T59N R19E 24BCC1	GW	39.95221990	-95.24608760	S	NAD27
USGS	395709095425401	01S 15E 23BCB 01	GW	39.95250127	-95.71526420	T	NAD27
USGS	395709095560901	01S 13E 22ADA 01	GW	39.95249970	-95.93610700	T	NAD27
USGS	395710095460800	PONY C NR SABETHA, KS	ST	39.95277859	-95.76915460	M	NAD27
USGS	395714095164001	01S 19E 22BAD 01	GW	39.95388727	-95.27803280	T	NAD27
USGS	395715095124701	T59N R38W 07BBD1	GW	39.95360839	-95.21386490	F	NAD27
USGS	395722095490201	01S 14E 23ABB 01	GW	39.95611164	-95.81749030	T	NAD27
